ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
049,Amino acids,KULFFI-49,66.54 ,59.25 ,51.16 ,61.12 ,73.55 ,50.08 ,85.50 ,59.77 ,65.65 ,75.33 ,75.60 ,37.27 ,74.98 ,71.32 ,54.60 ,86.81 ,55.50 ,60.67 ,69.82 ,8.48 ,46.82 ,54.57 ,59.54 ,58.44 ,81.10 ,67.39 ,73.72 ,89.89 ,73.57 ,75.38 ,68.15 ,69.33 ,72.64 ,0.70 ,62.06 ,47.15 ,76.86 ,70.17 ,63.48 ,47.65 ,61.45 ,52.39 ,36.16 ,57.79 ,78.27 ,72.68 ,59.18 ,56.97 ,56.68 ,64.00 ,57.66,60.62
050,Amino acids,KULFFI-50,74.24 ,35.45 ,41.12 ,61.46 ,87.89 ,30.36 ,49.98 ,105.03 ,70.57 ,88.23 ,85.10 ,36.29 ,71.07 ,73.33 ,59.89 ,96.73 ,54.46 ,78.76 ,69.36 ,0.57 ,35.49 ,9.25 ,70.33 ,64.50 ,73.54 ,74.21 ,61.60 ,87.55 ,94.86 ,65.03 ,62.08 ,67.48 ,64.19 ,0.70 ,52.91 ,19.18 ,76.64 ,73.69 ,70.72 ,48.15 ,45.38 ,38.22 ,15.98 ,17.20 ,78.91 ,73.44 ,52.22 ,61.61 ,54.04 ,43.18 ,52.98,44.28
051,Amino acids,KULFFI-51,76.65 ,72.51 ,68.29 ,76.21 ,92.72 ,51.71 ,99.19 ,76.79 ,72.17 ,90.35 ,95.33 ,54.50 ,85.30 ,77.98 ,61.39 ,91.04 ,66.69 ,76.85 ,91.86 ,10.67 ,49.14 ,58.02 ,57.19 ,72.04 ,89.54 ,75.71 ,94.35 ,91.90 ,82.07 ,74.66 ,67.96 ,61.78 ,69.79 ,0.77 ,67.18 ,46.87 ,85.85 ,74.03 ,83.61 ,51.57 ,51.41 ,52.64 ,27.45 ,53.38 ,89.70 ,75.41 ,62.17 ,63.68 ,80.07 ,82.31 ,57.04,56.53
052,Amino acids,KULFFI-52,66.91 ,55.03 ,51.85 ,56.28 ,79.42 ,42.13 ,73.68 ,68.61 ,61.99 ,67.96 ,82.20 ,40.38 ,54.64 ,62.12 ,50.92 ,81.67 ,45.96 ,55.77 ,51.21 ,6.27 ,36.67 ,39.19 ,51.19 ,54.86 ,73.61 ,58.62 ,60.99 ,81.16 ,71.55 ,66.08 ,58.79 ,54.73 ,55.65 ,0.85 ,51.28 ,30.42 ,62.69 ,65.92 ,67.54 ,35.70 ,37.31 ,37.19 ,24.10 ,43.73 ,79.73 ,66.79 ,48.63 ,50.98 ,52.20 ,62.32 ,48.73,42.60
053,Amino acids,KULFFI-53,68.01 ,59.28 ,55.10 ,67.01 ,86.80 ,64.99 ,87.72 ,53.37 ,59.44 ,77.31 ,85.47 ,54.10 ,68.91 ,75.68 ,56.75 ,95.45 ,59.21 ,60.01 ,87.78 ,31.75 ,48.24 ,50.30 ,60.13 ,67.74 ,80.44 ,71.44 ,102.29 ,87.22 ,79.32 ,72.48 ,67.95 ,68.06 ,73.39 ,2.44 ,62.27 ,38.91 ,77.53 ,72.34 ,64.81 ,59.14 ,56.01 ,49.22 ,31.83 ,51.95 ,82.15 ,73.61 ,60.91 ,67.80 ,60.20 ,72.92 ,56.19,59.71
054,Amino acids,KULFFI-54,65.74 ,53.78 ,50.19 ,64.38 ,76.90 ,43.51 ,84.56 ,77.59 ,80.34 ,70.71 ,79.49 ,41.74 ,62.84 ,74.41 ,60.71 ,80.04 ,48.57 ,60.12 ,60.15 ,10.29 ,37.45 ,28.61 ,53.24 ,60.90 ,80.50 ,73.41 ,56.40 ,85.82 ,71.24 ,66.79 ,56.12 ,63.29 ,53.27 ,1.16 ,54.88 ,31.38 ,79.55 ,67.91 ,87.98 ,38.37 ,39.43 ,33.20 ,23.59 ,37.85 ,70.25 ,72.40 ,50.72 ,58.83 ,53.72 ,60.02 ,52.04,45.19
055,Amino acids,KULFFI-55,65.13 ,50.23 ,51.65 ,61.97 ,76.18 ,39.61 ,82.54 ,81.25 ,79.92 ,63.21 ,81.71 ,37.19 ,60.61 ,66.11 ,58.38 ,78.39 ,48.95 ,61.44 ,54.37 ,10.29 ,32.71 ,32.76 ,49.82 ,58.62 ,76.20 ,71.85 ,56.97 ,85.79 ,72.26 ,62.68 ,56.52 ,60.67 ,54.14 ,0.88 ,52.30 ,30.88 ,76.16 ,65.12 ,78.64 ,35.31 ,35.08 ,36.92 ,25.39 ,45.03 ,67.58 ,67.41 ,50.65 ,55.76 ,53.08 ,60.09 ,51.83,42.94
056,Amino acids,KULFFI-56,79.91 ,55.17 ,74.74 ,57.72 ,87.53 ,53.95 ,77.80 ,60.35 ,66.45 ,84.22 ,104.65 ,35.46 ,58.91 ,68.64 ,75.14 ,102.23 ,79.98 ,49.84 ,66.87 ,17.95 ,42.01 ,46.46 ,66.32 ,74.39 ,96.55 ,61.11 ,61.78 ,82.97 ,72.17 ,64.74 ,74.14 ,78.38 ,68.22 ,0.74 ,54.21 ,50.25 ,94.16 ,77.25 ,70.47 ,50.27 ,45.72 ,41.36 ,29.45 ,39.65 ,73.01 ,79.88 ,61.66 ,68.81 ,65.47 ,73.12 ,67.18,57.07
057,Amino acids,KULFFI-57,65.80 ,55.05 ,56.92 ,65.40 ,92.23 ,40.98 ,93.87 ,84.62 ,81.80 ,83.57 ,80.92 ,36.59 ,60.56 ,71.00 ,66.98 ,81.70 ,47.62 ,69.42 ,58.09 ,10.09 ,35.90 ,31.16 ,53.62 ,61.01 ,85.78 ,75.17 ,56.94 ,102.56 ,88.69 ,63.35 ,69.11 ,63.10 ,55.42 ,0.76 ,52.20 ,30.35 ,86.10 ,72.17 ,74.18 ,36.15 ,35.89 ,34.60 ,22.10 ,58.07 ,80.74 ,101.92 ,52.35 ,62.93 ,52.62 ,63.65 ,50.99,42.08
058,Amino acids,KULFFI-58,60.52 ,52.78 ,50.81 ,62.32 ,72.79 ,35.76 ,81.48 ,68.12 ,63.85 ,73.55 ,77.10 ,44.17 ,57.68 ,66.98 ,58.34 ,82.12 ,52.84 ,60.53 ,55.68 ,9.27 ,30.74 ,35.85 ,54.78 ,54.31 ,80.75 ,74.88 ,55.89 ,81.52 ,71.95 ,65.20 ,60.37 ,57.22 ,54.80 ,0.78 ,56.24 ,29.60 ,77.44 ,65.78 ,63.39 ,34.95 ,40.39 ,33.27 ,23.53 ,43.38 ,74.24 ,66.49 ,50.95 ,55.59 ,56.11 ,63.25 ,50.32,47.15
