ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
059,Amino acids,KULFFI-59,44.72 ,35.95 ,39.24 ,63.38 ,34.11 ,71.89 ,46.92 ,40.86 ,29.18 ,45.96 ,20.67 ,51.51 ,50.21 ,40.10 ,65.67 ,51.01 ,49.88 ,48.52 ,38.27 ,68.98 ,59.66 ,59.95 ,53.99 ,64.28 ,54.82 ,51.91 ,46.33 ,39.86 ,47.66 ,34.21 ,45.56 ,48.17 ,45.05 ,8.33 ,38.16 ,44.47 ,52.42 ,41.93 ,49.83 ,44.87 ,39.32 ,38.16 ,42.15 ,57.02 ,27.53 ,40.77 ,49.03 ,69.24 ,41.60 ,41.10 ,48.98 ,32.03 
060,Amino acids,KULFFI-60,43.87 ,35.54 ,39.04 ,63.35 ,36.76 ,71.28 ,44.22 ,37.30 ,27.85 ,46.66 ,22.40 ,52.62 ,47.95 ,38.73 ,53.28 ,51.25 ,43.84 ,45.65 ,40.51 ,75.77 ,64.70 ,65.85 ,56.27 ,71.14 ,55.22 ,54.31 ,49.28 ,35.90 ,40.28 ,38.50 ,47.45 ,47.39 ,46.60 ,8.11 ,36.97 ,49.61 ,51.27 ,44.08 ,50.11 ,46.65 ,48.88 ,43.09 ,51.80 ,61.53 ,23.58 ,39.65 ,47.95 ,67.39 ,43.77 ,45.85 ,46.75 ,35.18 
061,Amino acids,KULFFI-61,57.64 ,40.97 ,59.33 ,70.78 ,58.11 ,94.34 ,59.15 ,66.20 ,65.06 ,71.69 ,43.67 ,55.06 ,46.06 ,53.53 ,73.20 ,70.23 ,68.06 ,70.33 ,68.34 ,75.39 ,77.96 ,95.92 ,74.65 ,87.10 ,88.72 ,63.37 ,73.97 ,66.62 ,78.07 ,36.46 ,65.08 ,73.44 ,73.65 ,6.16 ,58.13 ,47.86 ,79.76 ,65.08 ,63.81 ,52.17 ,71.62 ,36.41 ,41.97 ,86.85 ,40.51 ,64.31 ,75.08 ,96.90 ,50.86 ,41.94 ,57.23 ,56.97 
062,Amino acids,KULFFI-62,41.75 ,34.17 ,36.15 ,58.98 ,37.26 ,69.88 ,42.50 ,38.44 ,32.67 ,42.58 ,22.07 ,47.79 ,48.68 ,43.00 ,60.10 ,46.83 ,44.64 ,48.26 ,36.89 ,64.89 ,56.08 ,54.69 ,51.84 ,62.04 ,51.21 ,52.60 ,42.97 ,37.87 ,40.68 ,28.53 ,43.13 ,41.64 ,39.59 ,5.43 ,35.59 ,44.09 ,51.93 ,42.38 ,42.03 ,45.10 ,35.71 ,35.33 ,39.88 ,51.76 ,25.65 ,37.94 ,45.85 ,62.95 ,34.21 ,38.66 ,46.85 ,25.81 
063,Amino acids,KULFFI-63,42.51 ,34.89 ,36.91 ,62.57 ,35.74 ,72.26 ,44.94 ,43.77 ,27.27 ,45.97 ,20.23 ,47.04 ,50.51 ,38.96 ,59.35 ,49.26 ,48.79 ,51.09 ,37.42 ,73.61 ,61.80 ,62.72 ,54.14 ,62.24 ,54.68 ,56.72 ,46.54 ,39.48 ,40.70 ,33.18 ,46.30 ,42.76 ,43.59 ,5.77 ,37.14 ,45.50 ,51.87 ,43.99 ,46.78 ,45.08 ,39.42 ,38.66 ,41.61 ,45.97 ,25.65 ,39.88 ,47.46 ,66.33 ,41.02 ,40.46 ,48.10 ,32.78 
064,Amino acids,KULFFI-64,41.34 ,33.16 ,37.90 ,59.67 ,32.84 ,71.40 ,44.50 ,40.38 ,29.43 ,46.32 ,16.64 ,48.31 ,51.14 ,49.18 ,67.65 ,48.24 ,44.56 ,47.54 ,37.20 ,66.79 ,58.45 ,59.29 ,53.79 ,62.27 ,52.36 ,56.01 ,47.37 ,28.72 ,32.26 ,34.80 ,45.36 ,44.25 ,44.64 ,5.31 ,37.16 ,45.08 ,50.07 ,42.00 ,46.93 ,45.15 ,39.19 ,36.38 ,41.08 ,51.38 ,17.76 ,32.73 ,46.68 ,63.38 ,40.07 ,39.91 ,48.23 ,31.54 
065,Organic acids,KULFFI-65,43.30 ,33.56 ,41.87 ,60.34 ,42.97 ,66.87 ,44.12 ,40.90 ,33.28 ,46.45 ,22.61 ,48.41 ,53.22 ,49.66 ,64.02 ,50.49 ,48.15 ,50.18 ,36.71 ,67.75 ,57.60 ,61.13 ,53.47 ,62.64 ,55.52 ,54.29 ,47.13 ,38.02 ,42.82 ,38.10 ,45.36 ,44.91 ,44.91 ,5.44 ,36.53 ,45.66 ,51.44 ,42.77 ,48.43 ,44.70 ,40.58 ,37.79 ,41.10 ,56.47 ,27.76 ,39.68 ,47.97 ,48.97 ,39.41 ,40.71 ,47.09 ,32.03 
066,Organic acids,KULFFI-66,41.35 ,35.48 ,41.87 ,57.55 ,41.11 ,66.87 ,41.75 ,33.15 ,26.98 ,44.35 ,21.63 ,48.11 ,50.76 ,47.00 ,67.67 ,50.24 ,45.92 ,49.32 ,35.46 ,67.98 ,59.50 ,59.44 ,52.95 ,63.46 ,54.56 ,53.37 ,47.51 ,37.46 ,41.55 ,36.30 ,46.42 ,45.74 ,46.52 ,5.63 ,37.27 ,45.20 ,49.77 ,42.35 ,46.04 ,45.05 ,38.50 ,38.00 ,42.48 ,55.10 ,26.42 ,38.32 ,46.63 ,65.56 ,40.43 ,39.06 ,46.71 ,31.95 
067,Organic acids,KULFFI-67,44.78 ,34.18 ,41.87 ,64.19 ,43.91 ,66.87 ,35.22 ,35.73 ,29.08 ,48.03 ,23.10 ,55.12 ,54.54 ,39.64 ,65.19 ,52.63 ,51.22 ,50.23 ,44.49 ,81.42 ,68.35 ,69.99 ,61.24 ,62.99 ,55.38 ,52.63 ,51.14 ,35.78 ,37.26 ,34.48 ,48.43 ,45.87 ,46.18 ,5.66 ,37.50 ,50.99 ,51.51 ,46.25 ,50.48 ,52.96 ,49.48 ,48.42 ,50.57 ,63.97 ,22.98 ,37.68 ,46.70 ,62.86 ,41.06 ,45.14 ,46.03 ,35.74 
068,Organic acids,KULFFI-68,57.70 ,45.14 ,41.87 ,77.27 ,68.09 ,66.87 ,57.90 ,51.92 ,42.25 ,61.89 ,35.83 ,71.77 ,73.19 ,65.17 ,86.10 ,72.04 ,61.66 ,66.74 ,63.24 ,103.64 ,80.29 ,88.96 ,77.17 ,90.97 ,76.94 ,76.59 ,72.93 ,61.78 ,62.85 ,62.78 ,60.73 ,68.50 ,64.41 ,8.61 ,60.47 ,78.77 ,70.06 ,65.22 ,63.81 ,66.25 ,66.98 ,69.69 ,72.84 ,83.41 ,42.07 ,57.51 ,68.13 ,95.14 ,61.99 ,62.65 ,68.80 ,55.32 
